,SVC,RF,LASSO,ADA,mean
0,0.263,0.228,0.0,0.027,0.1295
1,0.027,0.298,0.0,0.011,0.084
2,0.192,0.129,0.0,0.006,0.08175
3,0.021,0.057,0.0,0.001,0.01975
4,0.093,0.179,0.0,0.009,0.07025
5,0.246,0.286,0.0,0.058,0.14750000000000002
6,0.679,0.24,0.002,0.019,0.23500000000000001
7,0.433,0.35,0.0,0.002,0.19624999999999998
8,0.04,0.212,0.0,0.004,0.064
9,0.751,0.517,0.0,0.01,0.3195
10,1.0,0.171,0.945,0.417,0.63325
11,0.189,0.178,0.0,0.037,0.10099999999999999
12,0.074,0.253,0.0,0.012,0.08475
13,0.802,0.334,0.0,0.012,0.28700000000000003
14,0.764,0.404,0.051,0.058,0.31925000000000003
15,0.192,0.119,0.0,0.01,0.08025
16,0.072,0.113,0.0,0.004,0.04725
17,0.002,0.135,0.003,0.048,0.047
18,0.059,0.553,0.0,0.013,0.15625000000000003
19,0.004,0.196,0.1,0.019,0.07975000000000002
20,0.049,0.468,0.322,0.232,0.26775
21,0.003,0.099,0.0,0.022,0.031
22,0.051,0.059,0.0,0.001,0.027749999999999997
23,0.593,0.233,0.269,0.088,0.29575
24,0.019,0.145,0.0,0.0,0.040999999999999995
25,0.009,0.14,0.0,0.001,0.037500000000000006
26,0.055,0.231,0.0,0.0,0.07150000000000001
27,0.027,0.138,0.0,0.002,0.04175
28,0.023,0.193,0.0,0.004,0.055
29,0.154,0.094,0.0,0.028,0.069
30,0.172,0.171,0.004,0.01,0.08925
31,0.375,0.094,0.001,0.018,0.122
32,0.316,0.123,0.002,0.012,0.11325
33,0.149,0.286,0.006,0.013,0.11349999999999999
34,0.218,0.53,0.001,0.015,0.191
35,0.06,0.09,0.0,0.006,0.039
36,0.015,0.104,0.0,0.004,0.03075
37,0.616,0.168,0.125,0.013,0.2305
38,0.418,0.273,0.008,0.061,0.19
39,0.218,0.373,0.001,0.007,0.14975
40,0.032,0.09,0.0,0.0,0.0305
41,0.002,0.168,0.0,0.001,0.04275
42,0.0,0.066,0.0,0.187,0.06325
43,0.243,0.198,0.0,0.004,0.11125
44,0.008,0.168,0.02,0.009,0.051250000000000004
45,0.075,0.229,0.001,0.037,0.08549999999999999
46,0.102,0.061,0.0,0.003,0.041499999999999995
47,0.666,0.125,0.001,0.087,0.21975
48,0.046,0.554,0.0,0.032,0.15800000000000003
49,0.76,0.864,0.042,0.218,0.47100000000000003
50,0.117,0.349,0.0,0.089,0.13874999999999998
51,0.92,0.07,0.125,0.012,0.28175
52,0.855,0.221,0.095,0.013,0.296
53,0.034,0.171,0.0,0.005,0.052500000000000005
54,0.054,0.166,0.0,0.056,0.069
55,0.36,0.185,0.0,0.035,0.145
56,0.027,0.254,0.003,0.027,0.07775000000000001
57,0.638,0.542,0.167,0.259,0.4015000000000001
58,0.33,0.087,0.004,0.021,0.11050000000000001
59,0.784,0.1,0.08,0.087,0.26275
60,0.428,0.398,0.148,0.111,0.27125000000000005
61,0.534,0.133,0.022,0.013,0.17550000000000002
62,0.0,0.096,0.0,0.002,0.0245
63,0.0,0.14,0.0,0.024,0.041
64,0.0,0.093,0.0,0.031,0.031
65,0.426,0.21,0.042,0.022,0.17500000000000002
66,0.961,0.091,0.617,0.043,0.428
67,0.516,0.146,0.022,0.021,0.17625000000000002
68,0.342,0.057,0.026,0.04,0.11625
69,0.521,0.374,0.023,0.028,0.23650000000000002
70,0.388,0.143,0.017,0.016,0.14100000000000001
71,0.795,0.099,0.009,0.016,0.22975
72,0.517,0.142,0.111,0.066,0.20900000000000002
73,0.0,0.082,0.0,0.008,0.0225
74,0.277,0.07,0.007,0.064,0.10450000000000001
75,0.0,0.0,0.016,0.0,0.004
76,0.157,0.186,0.018,0.039,0.09999999999999999
77,0.205,0.149,0.047,0.007,0.102
78,0.489,0.122,0.029,0.034,0.1685
79,0.582,0.254,0.223,0.164,0.30574999999999997
80,0.676,0.512,0.207,0.152,0.38675000000000004
81,0.043,0.103,0.0,0.012,0.0395
82,0.0,0.084,0.0,0.002,0.021500000000000002
83,0.04,0.065,0.0,0.013,0.029500000000000002
84,0.343,0.173,0.0,0.011,0.13175
85,0.617,0.078,0.0,0.007,0.1755
86,0.002,0.123,0.0,0.008,0.03325
87,0.0,0.06,0.0,0.004,0.016
88,0.0,0.009,0.0,0.008,0.00425
89,0.858,0.456,0.186,0.017,0.37925
90,0.0,0.072,0.0,0.011,0.020749999999999998
91,0.614,0.493,0.083,0.113,0.32575
92,0.0,0.066,0.0,0.008,0.018500000000000003
93,1.0,1.0,0.877,0.985,0.9654999999999999
94,0.0,0.289,0.0,0.034,0.08074999999999999
95,0.0,0.193,0.0,0.02,0.05325
96,0.567,0.388,0.0,0.012,0.24175
97,0.826,0.62,0.801,0.108,0.58875
98,0.724,0.364,0.611,0.111,0.4525
99,0.018,0.095,0.0,0.04,0.03825
100,0.0,0.957,0.0,0.115,0.268
101,0.01,0.494,0.0,0.077,0.14525
