,SVC,RF,LASSO,ADA,mean
0,0.353,0.076,0.149,0.166,0.186
1,0.537,0.201,0.027,0.141,0.2265
2,0.142,0.103,0.245,0.083,0.14325
3,0.087,0.094,0.0,0.108,0.07225
4,0.46,0.159,0.251,0.141,0.25275
5,0.516,0.202,0.804,0.277,0.44975
6,0.411,0.151,0.074,0.176,0.20299999999999996
7,0.044,0.174,0.001,0.087,0.07649999999999998
8,0.422,0.311,0.015,0.104,0.213
9,0.457,0.113,0.105,0.107,0.1955
10,0.291,0.337,0.632,0.37,0.4075
11,0.441,0.434,0.454,0.211,0.385
12,0.458,0.13,0.064,0.085,0.18425000000000002
13,0.05,0.168,0.005,0.088,0.07775000000000001
14,0.329,0.324,0.417,0.428,0.3745
15,0.142,0.077,0.292,0.166,0.16924999999999998
16,0.248,0.309,0.002,0.282,0.21025
17,0.642,0.511,0.554,0.398,0.52625
18,0.226,0.358,0.039,0.192,0.20375
19,0.886,0.135,0.87,0.261,0.538
20,0.512,0.61,0.696,0.691,0.62725
21,0.279,0.06,0.02,0.102,0.11525
22,0.26,0.233,0.075,0.119,0.17174999999999999
23,0.969,0.291,0.86,0.125,0.56125
24,0.007,0.034,0.002,0.088,0.03275
25,0.69,0.079,0.031,0.119,0.22974999999999998
26,0.43,0.172,0.088,0.299,0.24724999999999997
27,0.146,0.083,0.0,0.03,0.06475
28,0.134,0.066,0.001,0.07,0.06775
29,0.188,0.195,0.033,0.189,0.15125
30,0.011,0.034,0.003,0.079,0.03175
31,0.573,0.131,0.073,0.303,0.26999999999999996
32,0.958,0.081,0.488,0.117,0.411
33,0.968,0.214,0.974,0.378,0.6335
34,0.696,0.151,0.057,0.032,0.234
35,0.552,0.271,0.267,0.345,0.35875
36,0.506,0.227,0.006,0.301,0.26
37,0.408,0.146,0.217,0.092,0.21574999999999997
38,0.356,0.047,0.484,0.271,0.2895
39,0.696,0.255,0.053,0.047,0.26275
40,0.711,0.199,0.01,0.182,0.27549999999999997
41,0.259,0.056,0.002,0.049,0.0915
42,0.848,0.194,0.616,0.243,0.47524999999999995
43,0.346,0.13,0.413,0.18,0.26725
44,0.332,0.084,0.26,0.31,0.2465
45,0.485,0.164,0.045,0.482,0.29400000000000004
46,0.265,0.095,0.018,0.079,0.11425
47,0.632,0.231,0.637,0.331,0.45775
48,0.032,0.194,0.033,0.492,0.18775
49,0.478,0.155,0.148,0.431,0.303
50,0.643,0.169,0.032,0.161,0.25125000000000003
51,0.26,0.62,0.187,0.251,0.3295
52,0.368,0.513,0.496,0.25,0.40675
53,0.427,0.432,0.813,0.758,0.6074999999999999
54,0.441,0.05,0.848,0.372,0.42774999999999996
55,0.483,0.719,0.31,0.494,0.5015000000000001
56,0.519,0.157,0.087,0.266,0.25725
57,0.252,0.146,0.015,0.147,0.14
58,0.449,0.403,0.038,0.037,0.23175000000000004
59,0.673,0.242,0.397,0.074,0.34650000000000003
60,0.447,0.048,0.135,0.132,0.1905
61,0.63,0.217,0.033,0.195,0.26875
62,0.151,0.137,0.014,0.092,0.0985
63,0.49,0.122,0.462,0.373,0.36175
64,0.024,0.075,0.06,0.194,0.08825
