,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,0,35,0.9000000000000001,0.8151370368761673,0.10217322724878494,0.780436312456017,0.6776265315346837,0.88324609337735
0,1,35,0.9000000000000001,0.8372540502975285,0.05045162192849367,0.7621393384940183,0.6526790022590703,0.8715996747289665
0,2,40,1.0,0.8173239803674587,0.03768739639502873,0.8550316678395495,0.7669858724859531,0.9430774631931462
0,3,45,0.30000000000000004,0.7976089128263041,0.04974159407540104,0.8339197748064743,0.7339845945992615,0.9338549550136871
0,4,30,0.1,0.8535812014072883,0.07308077991515391,0.7051372273047151,0.5784091460987275,0.8318653085107022
0,5,20,0.30000000000000004,0.7998544933327543,0.049482276262777146,0.7790288529204785,0.6724044254955494,0.8856532803454075
0,6,45,0.7000000000000001,0.803774486383182,0.0848529310379217,0.8606615059817031,0.7810089701204247,0.9403140418429813
0,7,35,1.0,0.7605264300916474,0.05456846758912353,0.8662913441238564,0.7887728917965091,0.943809796451204
0,8,50,0.9000000000000001,0.7864961125830691,0.030484255434988266,0.8205489092188599,0.7153959531565646,0.9257018652811553
0,9,40,0.7000000000000001,0.8325913217217564,0.06662026977877444,0.7818437719915553,0.6751830288862026,0.888504515096908
0,10,25,0.5000000000000001,0.802256439212961,0.08406258106590936,0.7874736101337088,0.6779344712822842,0.8970127489851331
0,11,30,0.1,0.7822199539590844,0.08162265310250641,0.8254750175932443,0.7213307904115337,0.9296192447749548
0,12,50,0.7000000000000001,0.8595274290926465,0.07623486158220953,0.7382125263898663,0.6209464045816562,0.8554786481980761
0,13,50,0.7000000000000001,0.8155366372757678,0.05932653863975742,0.7867698803659394,0.6845969469803461,0.8889428137515327
0,14,40,0.7000000000000001,0.8416583416583416,0.05209862810390575,0.7579169598874033,0.6472286992548077,0.8686052205199988
0,15,40,1.5,0.8382508795552275,0.10035571590319699,0.7916959887403238,0.6766584064181157,0.9067335710625318
0,16,40,0.7000000000000001,0.7620792251227034,0.08196775424959009,0.860661505981703,0.7745046134356894,0.9468183985277165
0,17,40,0.5000000000000001,0.8099313729748513,0.07132500498282388,0.776917663617171,0.6687573268767453,0.8850780003575967
0,18,50,0.30000000000000004,0.8138187899057463,0.08663929638956838,0.7902885292047853,0.6819636306069218,0.8986134278026489
0,19,40,0.5000000000000001,0.835555748599227,0.12227661881339456,0.7600281491907107,0.6476638282654658,0.8723924701159557
0,20,35,1.0,0.829070929070929,0.060033186143925256,0.7227304714989444,0.5963884620750373,0.8490724809228518
0,21,50,0.5000000000000001,0.8116796247231031,0.08165185119283908,0.8318085855031668,0.7368383253675325,0.9267788456388012
0,22,40,0.7000000000000001,0.8275963167267516,0.05010424824208531,0.7874736101337086,0.6777101116752061,0.8972371085922112
0,23,40,1.5,0.8075055379403207,0.040906645220315146,0.8325123152709359,0.733721865369431,0.9313027651724411
0,24,50,2.0,0.8117426052208663,0.10101192863083581,0.7684729064039408,0.6606674961277627,0.8762783166801192
0,25,35,0.1,0.8162446249402769,0.05562150333823221,0.7762139338494018,0.6699478044583942,0.8824800632404093
0,26,45,0.7000000000000001,0.7915931894192765,0.05784668477611302,0.8472906403940887,0.7544534593086877,0.9401278214794896
0,27,25,0.7000000000000001,0.8080419580419582,0.06909838294022057,0.8318085855031668,0.7286123167118287,0.935004854294505
0,28,40,0.7000000000000001,0.8060895626113018,0.04803763417820678,0.8353272343420127,0.7348006099168535,0.935853858767172
0,29,50,8.0,0.8276940450853495,0.030470909641096992,0.7459535538353274,0.6311139513128852,0.8607931563577691
0,30,45,2.0,0.8087499457064675,0.05090311615019511,0.7642505277973258,0.6365276143810776,0.891973441213574
0,31,40,1.0,0.7856122138730834,0.1095124000363027,0.7959183673469387,0.6803022481439334,0.911534486549944
0,32,45,1.0,0.8004256612952265,0.06368990830735605,0.8233638282899367,0.7274896415510548,0.9192380150288184
0,33,50,1.0,0.8094144985449333,0.04532265590013508,0.8296973961998593,0.7335541715916518,0.9258406208080665
0,34,45,0.9000000000000001,0.7775811145376362,0.04460890806931898,0.8479943701618579,0.7599153342202671,0.9360734061034486
0,35,40,0.08999999999999998,0.7674738305173088,0.04474448697772243,0.8451794510907812,0.7580707118891507,0.9322881902924117
0,36,30,0.30000000000000004,0.8284411240932981,0.08128991440413555,0.7691766361717101,0.6598735057999761,0.8784797665434443
0,37,50,2.0,0.7703644181905052,0.043441806327872826,0.7825475017593244,0.6729056013816794,0.8921894021369696
0,38,30,0.5000000000000001,0.8079007948573167,0.05224691723372063,0.7825475017593244,0.6729496597584522,0.8921453437601968
0,39,30,1.5,0.8382161316943926,0.07787971805816693,0.7593244194229416,0.643482318090452,0.875166520755431
0,40,40,0.7000000000000001,0.7959345002823264,0.09364088912624362,0.8198451794510908,0.7257043771101566,0.9139859817920248
0,41,35,0.7000000000000001,0.8122703383572951,0.13097908766170954,0.7945109078114004,0.678390689488687,0.9106311261341139
0,42,40,0.9000000000000001,0.7971202710333145,0.06243470383179863,0.8578465869106262,0.7627663346996549,0.9529268391215977
0,43,35,0.5000000000000001,0.8443339269426227,0.0758075901771262,0.7691766361717102,0.6560285687789438,0.8823247035644766
0,44,35,0.7000000000000001,0.8187204100247578,0.053115309164940006,0.7705840957072484,0.654275768598053,0.8868924228164438
0,45,40,0.30000000000000004,0.8031403379229467,0.03498671220553779,0.805066854327938,0.704945390938398,0.9051883177174782
0,46,35,0.5000000000000001,0.8179776744994138,0.0741682762356993,0.8226600985221675,0.7257541377580857,0.919566059286249
0,47,50,1.0,0.8590539894887721,0.039753160686361394,0.7480647431386348,0.6304135190590836,0.865715967218186
0,48,35,1.0,0.8674564565868913,0.06529329891786374,0.7192118226600985,0.5947551195840611,0.8436685257361357
0,49,30,0.7000000000000001,0.8235395039742865,0.05345085157422923,0.7959183673469388,0.6848560974047879,0.9069806372890894
0,50,50,0.9000000000000001,0.864995873691526,0.04250770415548827,0.7255453905700211,0.5956837623975804,0.8554070187424616
0,51,50,0.30000000000000004,0.8027298788168353,0.06698553387567553,0.8592540464461647,0.7759224595420653,0.9425856333502642
