,Random_state,Optimal_Nfeat,Optimal_C,CV_AUC,CV_AUC_SD,Test_AUC,CV_AUC_lowCI,CV_AUC_highCI
0,0,30,0.9000000000000001,0.8683261183261184,0.0613250148015565,0.586111111111111,0.4032931682462446,0.7689290539759774
0,1,25,0.30000000000000004,0.8137445887445887,0.08719625023799478,0.7083333333333334,0.5221125513787539,0.8945541152879131
0,2,35,1.5,0.7584776334776335,0.11638994168300583,0.7277777777777777,0.5619717297199105,0.8935838258356452
0,3,40,4.0,0.82020202020202,0.06935217160138248,0.5833333333333334,0.4022445988755773,0.7644220677910892
0,4,45,0.30000000000000004,0.7926406926406926,0.12255527087459385,0.7333333333333333,0.562584883328066,0.9040817833386008
0,5,30,0.9000000000000001,0.7617243867243868,0.08807275111185765,0.7277777777777779,0.5661055093547673,0.8894500462007884
0,6,35,0.30000000000000004,0.7355339105339105,0.12430508933790693,0.7861111111111112,0.6340201062393369,0.9382021159828855
0,7,35,0.5000000000000001,0.721031746031746,0.10316726176970897,0.8194444444444445,0.6755566458569529,0.9633322430319364
0,8,45,0.5000000000000001,0.5924242424242424,0.16701598638187384,0.6611111111111112,0.4819043270095674,0.840317895212655
0,9,50,0.9000000000000001,0.7356421356421357,0.11970964638918848,0.6972222222222223,0.5298331363809149,0.8646113080635299
0,10,30,0.30000000000000004,0.748989898989899,0.0815654571235945,0.7944444444444444,0.6391781772094914,0.9497107116793976
0,11,25,1.5,0.7784632034632035,0.1222749178956733,0.7555555555555555,0.5973154820524434,0.9137956290586676
0,12,40,0.9000000000000001,0.6867243867243868,0.079005350300119,0.7388888888888889,0.5714008447260173,0.9063769330517606
0,13,40,1.5,0.7735569985569987,0.10397671536036983,0.8,0.6609341979360593,0.9390658020639407
0,14,20,0.08999999999999998,0.7404040404040405,0.06497537629617722,0.763888888888889,0.6083045771393525,0.9194732006384252
0,15,35,0.30000000000000004,0.7643217893217893,0.07139263310927835,0.7083333333333333,0.5415596516390353,0.8751070150276317
0,16,45,0.9000000000000001,0.7413780663780664,0.07922643011778445,0.7305555555555556,0.5599424761803757,0.9011686349307355
0,17,25,0.9000000000000001,0.7556998556998558,0.07482432103662841,0.736111111111111,0.5584193683926878,0.9138028538295345
0,18,20,0.7000000000000001,0.7054473304473305,0.07932916017825671,0.7083333333333334,0.5383646014005674,0.8783020652660996
0,19,50,0.7000000000000001,0.666053391053391,0.10616777085411735,0.8833333333333333,0.7688042081720124,0.9978624584946542
0,20,50,0.30000000000000004,0.6990981240981242,0.12041436354385172,0.8,0.6573174228429168,0.9426825771570833
0,21,50,2.0,0.763961038961039,0.15889059516242524,0.8361111111111111,0.7107905180596286,0.9614317041625939
0,22,45,0.7000000000000001,0.7514069264069264,0.07400258836424708,0.675,0.5032051066417477,0.8467948933582524
0,23,20,0.1,0.6717532467532468,0.11575716293107151,0.6888888888888889,0.5194876016195197,0.8582901761582585
0,24,20,0.1,0.7213924963924965,0.060759571611186405,0.6777777777777778,0.4991157941376047,0.8564397614179509
0,25,20,0.06999999999999999,0.7447691197691197,0.0878219320528095,0.6111111111111112,0.42025543979309354,0.8019667824291288
0,26,30,0.9000000000000001,0.7886724386724386,0.048740778183309075,0.65,0.4564650677971174,0.8435349322028829
0,27,25,0.7000000000000001,0.7470057720057719,0.08450784908611135,0.6027777777777779,0.41295949018964206,0.7925960653659132
0,28,25,2.0,0.7741702741702741,0.10432012240677728,0.6694444444444445,0.4904874761657948,0.8484014127230942
0,29,30,0.5000000000000001,0.7567821067821068,0.1323654770397535,0.8222222222222223,0.6710966221376582,0.9733478223067866
0,30,20,0.5000000000000001,0.7845598845598846,0.03961715720842071,0.6194444444444445,0.43829573723526116,0.8005931516536278
0,31,20,0.30000000000000004,0.7581168831168832,0.10040415550397457,0.725,0.5550004005502003,0.8949995994497999
0,32,40,0.9000000000000001,0.7601731601731603,0.12266417291116356,0.7388888888888889,0.5826580567586853,0.8951197210190925
0,33,20,0.08999999999999998,0.7251803751803751,0.08176624782342576,0.7694444444444445,0.6113859738104301,0.9275029150784586
0,34,50,0.7000000000000001,0.8122294372294373,0.055966090577607375,0.5416666666666667,0.35712923392567986,0.7262040994076536
0,35,40,1.0,0.6611111111111112,0.07128105805074297,0.663888888888889,0.4881961314996722,0.8395816462781057
0,36,45,2.0,0.7191558441558442,0.11824206003113077,0.7000000000000001,0.5177180844295337,0.8822819155704666
0,37,50,0.30000000000000004,0.7492424242424242,0.08573590371683859,0.7138888888888889,0.5419633033144291,0.8858144744633489
0,38,45,0.7000000000000001,0.7812409812409813,0.03556757072900694,0.7111111111111111,0.5329893926513831,0.8892328295708394
0,39,35,0.5000000000000001,0.7634920634920636,0.06659908932941926,0.7027777777777778,0.5258148659111105,0.8797406896444454
0,40,35,1.0,0.7417388167388167,0.10483472518702106,0.7527777777777778,0.5936258574739839,0.9119296980815716
0,41,35,4.0,0.662085137085137,0.10377262383244022,0.7166666666666667,0.5483928801369303,0.8849404531964032
0,42,30,1.5,0.8277417027417027,0.09244674082081658,0.638888888888889,0.4490982454824441,0.8286795322953335
0,43,40,2.0,0.7204184704184704,0.04339333516406857,0.763888888888889,0.6093482091943304,0.9184295685834473
0,44,20,0.1,0.7216810966810966,0.1753389266115703,0.6805555555555556,0.5102032729292433,0.8509078381818679
0,45,35,0.5000000000000001,0.7417388167388167,0.12231705808904143,0.7972222222222223,0.6358200640486362,0.9586243803958083
0,46,45,0.7000000000000001,0.675,0.1238095238095238,0.7694444444444445,0.607816593514398,0.9310722953744908
0,47,40,0.5000000000000001,0.8041847041847042,0.10917229808239202,0.6388888888888888,0.45388912290822464,0.823888654869553
0,48,20,1.5,0.7507936507936508,0.05363104674524333,0.7583333333333333,0.601661806039672,0.9150048606269946
0,49,50,1.0,0.7094877344877345,0.12154801258212311,0.8194444444444444,0.6861348043928595,0.9527540844960298
0,50,45,0.9000000000000001,0.8261183261183263,0.10961665507048356,0.6222222222222222,0.4338644040737982,0.8105800403706462
0,51,50,1.5,0.7213924963924964,0.136026882875352,0.7861111111111112,0.6359258602110891,0.9362963620111333
0,52,35,0.7000000000000001,0.7257936507936508,0.09728243349376733,0.8138888888888889,0.6803205563345731,0.9474572214432051
0,53,45,0.7000000000000001,0.6906926406926406,0.12125298862703779,0.8277777777777777,0.6955100549826484,0.9600455005729075
0,54,25,1.5,0.73510101010101,0.11025876673464167,0.7138888888888889,0.5322286790344333,0.8955490987433448
0,55,20,0.30000000000000004,0.7105699855699855,0.11287218718782561,0.7416666666666667,0.57982936320189,0.9035039701314433
0,56,20,8.0,0.6854617604617605,0.1193660963697426,0.7388888888888889,0.5754194077258159,0.902358370051962
0,57,20,8.0,0.7624458874458874,0.10339271489367029,0.7333333333333333,0.5703364272865752,0.8963302393800916
0,58,40,0.7000000000000001,0.7387806637806638,0.15579431087870418,0.6972222222222221,0.5151201755392298,0.879324268905215
0,59,50,0.7000000000000001,0.7178210678210678,0.14136929818785604,0.7611111111111112,0.6094255561066425,0.9127966661155796
0,60,45,1.5,0.7791125541125541,0.10032788583476823,0.7222222222222222,0.5567429428483461,0.8877015015960985
0,61,30,1.5,0.8398268398268398,0.09161752415031235,0.5944444444444444,0.4117972745281616,0.777091614360727
0,62,50,0.7000000000000001,0.725974025974026,0.17667648647647424,0.7194444444444444,0.5508553114914974,0.8880335773973917
0,63,45,0.7000000000000001,0.7547258297258297,0.08221788018764765,0.7194444444444444,0.5484045838264314,0.8904843050624577
0,64,20,0.06999999999999999,0.7263347763347763,0.0689799970740449,0.6722222222222223,0.49888092467263745,0.8455635197718071
0,65,20,6.0,0.7784632034632034,0.17092976427289347,0.6805555555555555,0.49802030582367934,0.8630908052874318
0,66,45,0.5000000000000001,0.814935064935065,0.06066990984945501,0.6749999999999999,0.49724506694360315,0.8527549330563969
0,67,35,0.30000000000000004,0.7567821067821068,0.07200712751791584,0.813888888888889,0.6608403730181129,0.9669374047596653
0,68,45,1.5,0.7315295815295816,0.1286318936858987,0.7416666666666667,0.5836664462523005,0.8996668870810329
0,69,40,8.0,0.7492784992784993,0.16195144051663124,0.5944444444444444,0.40289982468174007,0.7859890642071485
0,70,40,0.7000000000000001,0.717099567099567,0.08987663565271677,0.6972222222222223,0.512736674888747,0.8817077695556979
0,71,40,0.5000000000000001,0.7832972582972584,0.09479855061595831,0.5777777777777777,0.3905109889687265,0.765044566586829
0,72,25,0.5000000000000001,0.7795454545454545,0.11476083062528704,0.6416666666666666,0.4475888424243861,0.8357444909089471
0,73,20,4.0,0.7956709956709956,0.06390012188354627,0.6138888888888889,0.41485938660999,0.8129183911677879
0,74,40,0.30000000000000004,0.8256854256854258,0.06135997785144648,0.6222222222222222,0.4285926613224382,0.8158517831220062
0,75,30,0.7000000000000001,0.820021645021645,0.11660221800318976,0.6472222222222221,0.4457325894752112,0.8487118549692335
0,76,50,0.7000000000000001,0.7469336219336219,0.044442336113108494,0.6361111111111111,0.45028769113470485,0.8219345310875172
0,77,40,0.5000000000000001,0.6315656565656566,0.08284430764432009,0.763888888888889,0.5947437360490454,0.9330340417287323
0,78,20,0.06999999999999999,0.7695887445887445,0.04087535606652614,0.6472222222222221,0.45878818066075666,0.8356562637836881
0,79,45,1.5,0.7436868686868687,0.10988683379633296,0.7472222222222222,0.5631607864722962,0.9312836579721483
0,80,20,0.1,0.7626984126984128,0.09388333899653135,0.6944444444444444,0.5154288460961292,0.8734600427927601
0,81,20,0.7000000000000001,0.7075036075036075,0.06183040182883018,0.7527777777777778,0.5985572948354817,0.9069982607200738
0,82,20,0.1,0.6779581529581529,0.0814920293040064,0.7111111111111111,0.5192668440446897,0.9029553781775328
0,83,50,0.7000000000000001,0.6341630591630592,0.10248538706418645,0.825,0.680961299178144,0.9690387008218564
0,84,40,0.9000000000000001,0.7812409812409813,0.04861148256878318,0.6305555555555555,0.44943429103936516,0.8116768200717459
0,85,50,0.7000000000000001,0.8306998556998557,0.10628134209105594,0.6305555555555555,0.4296616344218296,0.8314494766892815
0,86,20,0.9000000000000001,0.6880591630591631,0.09509967968619353,0.7333333333333334,0.5577259989099087,0.9089406677567581
0,87,25,0.30000000000000004,0.7336580086580087,0.12058798375050314,0.675,0.4993848028315123,0.8506151971684878
0,88,30,0.7000000000000001,0.799062049062049,0.0673079357134943,0.7555555555555555,0.5771782069276703,0.9339329041834408
0,89,30,0.5000000000000001,0.799062049062049,0.04918484230368901,0.5944444444444444,0.40390446784744494,0.7849844210414437
0,90,45,0.5000000000000001,0.7962121212121211,0.08980165621121278,0.7111111111111111,0.5430338265646676,0.8791883956575549
0,91,25,1.0,0.7155844155844155,0.06775064656245453,0.7277777777777777,0.5648531757191833,0.8907023798363725
0,92,20,2.0,0.647943722943723,0.11241078490336905,0.8555555555555555,0.729803797264684,0.9813073138464272
0,93,25,8.0,0.7475468975468976,0.10059293365220284,0.725,0.5570251626950677,0.8929748373049324
0,94,20,1.5,0.7811688311688312,0.09945975768488936,0.6694444444444444,0.4748857943730682,0.8640030945158208
0,95,25,0.5000000000000001,0.7741702741702742,0.06774551762026017,0.6833333333333332,0.5091470746256819,0.8575195920409848
0,96,25,0.30000000000000004,0.7380591630591631,0.08818810968924663,0.8,0.6543786811967018,0.9456213188032982
0,97,20,0.7000000000000001,0.8575757575757577,0.08483523175936927,0.6,0.4090175221174672,0.7909824778825325
