,Random_state,CV_AUC,CV_AUC_SD,Test_AUC,Test_AUC_lCI,Test_AUC_uCI
0,0,0.734,0.152,0.7,0.5769713244639165,0.8220434538612065
0,1,0.715,0.053,0.722,0.6058042218900408,0.8382492615723098
0,2,0.717,0.104,0.723,0.6068797123115075,0.8399886902219196
0,3,0.741,0.064,0.679,0.5552355803063495,0.8029628714881615
0,4,0.765,0.046,0.618,0.48219398490934706,0.753555487293327
0,5,0.699,0.058,0.746,0.6333064499690958,0.8586006577015585
0,6,0.71,0.078,0.711,0.5902389704119596,0.8327026200173152
0,7,0.691,0.071,0.769,0.665620469261168,0.8727328030822523
0,8,0.717,0.092,0.726,0.6074208672495125,0.8450773734260679
0,9,0.713,0.105,0.723,0.6016255093410711,0.845242893192356
0,10,0.691,0.079,0.732,0.6049642150950136,0.8587937018648735
0,11,0.725,0.065,0.704,0.5750817524018347,0.8323777831365186
0,12,0.744,0.068,0.633,0.49826081340965206,0.7684527685748659
0,13,0.72,0.106,0.728,0.6143614498134258,0.84235916946877
0,14,0.74,0.052,0.694,0.5675139875407756,0.8202411145000407
0,15,0.755,0.08,0.63,0.5002854833400812,0.7593908009667449
0,16,0.68,0.088,0.817,0.7222587975698443,0.9118017231901837
0,17,0.743,0.06,0.699,0.5714026343808423,0.8262046844087423
0,18,0.717,0.075,0.723,0.6027519244955082,0.8441164780379189
0,19,0.709,0.13,0.673,0.5457218734333702,0.8012169020768338
0,20,0.725,0.088,0.711,0.5851710979990622,0.8377704924302126
0,21,0.731,0.053,0.695,0.5724439817407503,0.8167185798356045
0,22,0.707,0.094,0.746,0.6335160911161305,0.8583910165545238
0,23,0.741,0.071,0.644,0.51441909270375,0.7734063823138431
0,24,0.736,0.084,0.663,0.5399471159607164,0.7858797665164124
0,25,0.75,0.06,0.648,0.5211666260346406,0.7751036061961829
0,26,0.715,0.087,0.721,0.5968647521593003,0.8443738122319734
0,27,0.718,0.074,0.725,0.6094596212183516,0.8402237003861519
0,28,0.715,0.058,0.759,0.6444110887172494,0.8728302905930951
0,29,0.742,0.064,0.663,0.5340521032012513,0.7917747792758776
0,30,0.709,0.087,0.757,0.6336675041829022,0.8807589560563659
0,31,0.714,0.045,0.695,0.5597854667907888,0.829377094785566
0,32,0.735,0.026,0.702,0.577407689941541,0.8272369265257358
0,33,0.734,0.09,0.7,0.5720496240580462,0.8269651542670768
0,34,0.704,0.099,0.747,0.6367849871549764,0.8579370395867547
0,35,0.723,0.076,0.719,0.601297743770978,0.8371259015492188
0,36,0.715,0.07,0.718,0.5992142575282927,0.8363944687208277
0,37,0.691,0.105,0.804,0.7054523379628107,0.9018664516219886
0,38,0.706,0.04,0.753,0.6295682379635504,0.8764134650624874
0,39,0.725,0.072,0.702,0.5785445090271676,0.8246926479045708
0,40,0.7,0.052,0.704,0.5880965496234573,0.8207704454504344
